doc_name,thread_name,thread_url,dominant_topic,topic_gamma,displacement,fuel_type,year,mileage_km,mileage_bucket,engine_group,technical_bucket,chronic_score,n_messages,gamma_vector
doc_01455,Motor ariza kodu P13d5,https://www.golftutkusu.com/topic/25100-motor-ariza-kodu-p13d5,7,0.9033016703051913,NA,unknown,NA,NA,unknown,unknown,high,2,8,"[0.000658, 0.001118, 0.003145, 0.002334, 0.002550, 0.002624, 0.903302, 0.002153, 0.002475, 0.002010, 0.003711, 0.002335, 0.002197, 0.002000, 0.002017, 0.058421, 0.001591, 0.003422, 0.001036, 0.000900]"
doc_01456,Motor calistirma,https://www.golftutkusu.com/topic/9332-motor-calistirma,18,0.44369428684132395,NA,unknown,NA,NA,unknown,unknown,low,0,3,"[0.000265, 0.001416, 0.000768, 0.001770, 0.000305, 0.000863, 0.000528, 0.001357, 0.000968, 0.000788, 0.114523, 0.000382, 0.000947, 0.001545, 0.001051, 0.425114, 0.000996, 0.443694, 0.000618, 0.002100]"
doc_01457,Motor hava giris hortumu,https://www.golftutkusu.com/topic/17871-motor-hava-giris-hortumu,16,0.5491097774436872,NA,unknown,NA,NA,unknown,unknown,high,1,7,"[0.003421, 0.001921, 0.344971, 0.005406, 0.014420, 0.004170, 0.007005, 0.007716, 0.009046, 0.002201, 0.006722, 0.003524, 0.004582, 0.008529, 0.002159, 0.549110, 0.004082, 0.017802, 0.002860, 0.000353]"
doc_01458,Motor ikaz ve start stop ariza verme..,https://www.golftutkusu.com/topic/20297-motor-ikaz-ve-start-stop-ariza-verme,18,0.6172798629974778,NA,unknown,2013,NA,unknown,unknown,high,1,2,"[0.000756, 0.000854, 0.007516, 0.001379, 0.000243, 0.002195, 0.000621, 0.001798, 0.002073, 0.004685, 0.001637, 0.002571, 0.001263, 0.000707, 0.340657, 0.002295, 0.001534, 0.617280, 0.006852, 0.003084]"
doc_01459,Motor isigi yanip yanip sonuyor.,https://www.golftutkusu.com/topic/18340-motor-isigi-yanip-yanip-sonuyor,7,0.99266397076135,1.2,petrol,2016,1000,0-30k,1.2_TSI,high,4,17,"[0.000043, 0.000277, 0.000896, 0.000256, 0.000068, 0.000278, 0.992664, 0.000383, 0.000241, 0.000719, 0.000683, 0.000333, 0.000072, 0.000109, 0.000734, 0.000692, 0.000144, 0.000438, 0.000323, 0.000648]"
doc_01460,Motor isininca motordan gelen Cok sallanti sorunu,https://www.golftutkusu.com/topic/10636-motor-isininca-motordan-gelen-cok-sallanti-sorunu,4,0.9893386189247264,NA,unknown,2013,NA,unknown,unknown,medium,0,3,"[0.000115, 0.000252, 0.001104, 0.989339, 0.000153, 0.000479, 0.000239, 0.000696, 0.000346, 0.000809, 0.000915, 0.000610, 0.000094, 0.000166, 0.000630, 0.000649, 0.000187, 0.001005, 0.001304, 0.000906]"
doc_01461,Motor kismindan gelen ses,https://www.golftutkusu.com/topic/21142-motor-kismindan-gelen-ses,16,0.7238922297878119,1.6,diesel,2016,74000,60-90k,1.6_TDI,high,1,5,"[0.000169, 0.001862, 0.155156, 0.001157, 0.000408, 0.000562, 0.000729, 0.000611, 0.000354, 0.001842, 0.002545, 0.000537, 0.000724, 0.000340, 0.002035, 0.723892, 0.000862, 0.104427, 0.000668, 0.001118]"
doc_01462,Motor sicakligi dususu,https://www.golftutkusu.com/topic/19025-motor-sicakligi-dususu,6,0.6026277477357473,1.6,diesel,NA,NA,unknown,1.6_TDI,high,0,42,"[0.000597, 0.001158, 0.007664, 0.001583, 0.001524, 0.602628, 0.000949, 0.253375, 0.001184, 0.003126, 0.002690, 0.001843, 0.000606, 0.000825, 0.001808, 0.107571, 0.001091, 0.004845, 0.001788, 0.003145]"
doc_01463,Motor suyuna yag karismis olma ihtimali,https://www.golftutkusu.com/topic/25442-motor-suyuna-yag-karismis-olma-ihtimali,3,0.9656835258412813,1.6,diesel,2014,NA,unknown,1.6_TDI,high,2,23,"[0.000937, 0.000998, 0.965684, 0.000975, 0.003235, 0.001256, 0.001348, 0.000651, 0.001534, 0.000331, 0.001495, 0.000693, 0.001421, 0.001472, 0.001135, 0.009281, 0.000840, 0.004456, 0.001566, 0.000694]"
doc_01464,Motor titremesi ve gaz yememesi,https://www.golftutkusu.com/topic/19640-motor-titremesi-ve-gaz-yememesi,7,0.9812328077591527,1.4,petrol,2014,60000,60-90k,1.4_TSI,high,0,14,"[0.000109, 0.000529, 0.004273, 0.000380, 0.000160, 0.000599, 0.981233, 0.000815, 0.000484, 0.001112, 0.001257, 0.000620, 0.000153, 0.000271, 0.003399, 0.001578, 0.000302, 0.000977, 0.000619, 0.001131]"
doc_01465,Motor titresimi,https://www.golftutkusu.com/topic/10444-motor-titresimi,4,0.622621727930896,1.6,diesel,2000,70000,60-90k,1.6_TDI,high,1,10,"[0.000800, 0.005211, 0.000154, 0.622622, 0.001819, 0.000827, 0.000802, 0.001574, 0.001358, 0.349639, 0.001399, 0.000369, 0.000464, 0.001628, 0.000676, 0.003691, 0.000991, 0.003142, 0.002230, 0.000603]"
doc_01466,Motor uflemesi,https://www.golftutkusu.com/topic/10438-motor-uflemesi,20,0.993426399941728,NA,unknown,NA,NA,unknown,unknown,high,0,12,"[0.000146, 0.000123, 0.001008, 0.000160, 0.000112, 0.000403, 0.000105, 0.000221, 0.000268, 0.000408, 0.000685, 0.000467, 0.000100, 0.000091, 0.000978, 0.000256, 0.000115, 0.000263, 0.000667, 0.993426]"
doc_01467,Motor ve kizdirma bujisi uyarisi,https://www.golftutkusu.com/topic/23803-motor-ve-kizdirma-bujisi-uyarisi,8,0.7054228776794568,1.6,diesel,2017,9000,0-30k,1.6_TDI,high,4,31,"[0.000462, 0.004195, 0.000873, 0.002018, 0.000850, 0.000818, 0.000958, 0.705423, 0.000166, 0.003371, 0.003843, 0.000809, 0.000903, 0.000301, 0.003614, 0.263193, 0.001438, 0.004578, 0.000943, 0.001245]"
doc_01468,Motor yagi onerisi ?,https://www.golftutkusu.com/topic/19945-motor-yagi-onerisi,14,0.9379099764424645,1.2,petrol,2016,NA,unknown,1.2_TSI,low,0,5,"[0.002163, 0.001181, 0.004359, 0.002422, 0.007110, 0.004153, 0.002531, 0.001353, 0.002481, 0.001690, 0.005532, 0.002996, 0.003318, 0.937910, 0.006068, 0.004731, 0.001248, 0.005239, 0.002375, 0.001143]"
doc_01469,Motor yagi seviyesi,https://www.golftutkusu.com/topic/27488-motor-yagi-seviyesi,1,0.7042806930213271,1.6,diesel,2016,15000,0-30k,1.6_TDI,high,2,30,"[0.704281, 0.003757, 0.165284, 0.006759, 0.026564, 0.006134, 0.004048, 0.005169, 0.007166, 0.003336, 0.005819, 0.006704, 0.004911, 0.008652, 0.003166, 0.004244, 0.004836, 0.017304, 0.011580, 0.000286]"
doc_01470,Motorda hafif titreme,https://www.golftutkusu.com/topic/14162-motorda-hafif-titreme,18,0.9817237495652169,1.4,petrol,2013,NA,unknown,1.4_TSI,high,1,15,"[0.000124, 0.001901, 0.000265, 0.000814, 0.000098, 0.000469, 0.000146, 0.000302, 0.000412, 0.000779, 0.000916, 0.000109, 0.000613, 0.000382, 0.004075, 0.004592, 0.000561, 0.981724, 0.000403, 0.001316]"
