engine_spec,reg_year,total_tests,pass_count,avg_failures,avg_mileage,fail_rate_pct
unknown_1093cc,1985,1,1,0.0,50147.0,0.0
unknown_1093cc,1997,1,1,0.0,164675.0,0.0
unknown_1093cc,2000,2,2,0.0,53834.0,0.0
unknown_1093cc,2002,2,2,2.5,152705.5,0.0
unknown_1093cc,2004,1,1,5.0,63739.0,0.0
unknown_1093cc,2005,2,2,0.5,68866.5,0.0
unknown_1093cc,2006,5,5,0.8,81442.6,0.0
unknown_1093cc,2009,2,1,1.0,53850.0,50.0
unknown_1093cc,2011,1,1,0.0,45983.0,0.0
unknown_1098cc,1983,2,2,1.0,68496.0,0.0
unknown_1100cc,1975,3,2,2.6666666666666665,122530.0,33.3
unknown_1100cc,1982,1,1,1.0,64969.0,0.0
unknown_1100cc,1983,2,1,7.5,195556.0,50.0
unknown_11283cc,2007,1,1,1.0,114807.0,0.0
unknown_1174cc,2002,1,1,1.0,96900.0,0.0
unknown_1192cc,1960,1,0,0.0,,100.0
unknown_1200cc,2010,3,2,1.0,21123.666666666668,33.3
unknown_1200cc,2011,1,1,0.0,42606.0,0.0
unknown_1223cc,2003,1,1,1.0,99936.0,0.0
unknown_1228cc,2009,1,1,0.0,32644.0,0.0
unknown_1263cc,1984,1,1,0.0,38100.0,0.0
unknown_1263cc,1988,2,1,1.5,5758.0,50.0
unknown_1263cc,1989,2,1,2.0,317427.0,50.0
unknown_1271cc,1991,1,1,0.0,55685.0,0.0
unknown_1272cc,1975,1,1,0.0,28763.0,0.0
unknown_1272cc,1978,2,2,0.5,41108.0,0.0
unknown_1272cc,1979,1,1,4.0,31909.0,0.0
unknown_1272cc,1980,4,3,2.0,54730.0,25.0
unknown_1272cc,1981,4,3,1.5,67312.5,25.0
unknown_1272cc,1982,8,6,1.625,99331.0,25.0
unknown_1272cc,1983,153,106,2.980392156862745,114902.2697368421,30.7
unknown_1272cc,1984,20,14,3.45,79163.6,30.0
unknown_1272cc,1985,113,79,2.9469026548672566,78448.34234234234,30.1
unknown_1272cc,1986,97,62,3.0103092783505154,95619.52577319587,36.1
unknown_1272cc,1987,78,55,2.8205128205128207,91138.62337662338,29.5
unknown_1272cc,1988,166,109,3.397590361445783,104540.86746987952,34.3
unknown_1272cc,1989,237,160,3.2869198312236287,100861.50854700855,32.5
unknown_1272cc,1990,378,248,3.6534391534391535,107135.85675675675,34.4
unknown_1272cc,1991,283,196,3.6784452296819787,106856.84532374101,30.7
unknown_1272cc,1992,2,1,3.5,172807.0,50.0
unknown_1272cc,1993,2,1,8.0,150376.0,50.0
unknown_1272cc,1995,3,2,3.6666666666666665,100532.66666666667,33.3
unknown_1272cc,1996,1,1,6.0,133210.0,0.0
unknown_1272cc,1998,1,1,1.0,61688.0,0.0
unknown_1272cc,2001,4,4,0.0,151204.75,0.0
unknown_1272cc,2002,8,7,1.375,100400.125,12.5
unknown_1272cc,2003,2,1,2.0,82089.5,50.0
unknown_1272cc,2004,15,11,1.8,82028.8,26.7
unknown_1272cc,2005,6,6,1.3333333333333333,82450.83333333333,0.0
unknown_1272cc,2006,9,8,0.5555555555555556,74043.77777777778,11.1
unknown_1272cc,2007,4,4,0.0,57162.5,0.0
unknown_1272cc,2008,2,2,1.0,74993.0,0.0
unknown_1272cc,2009,3,3,1.3333333333333333,46560.0,0.0
unknown_1272cc,2010,1,1,0.0,77681.0,0.0
unknown_1272cc,2011,4,3,1.75,54785.5,25.0
